"","curve1","curve2","curve3","curve4"
"444",0,0,0,1
"445",0,0,1,0
"446",0,0,1,0
"447",0.971578155315107,0.964922025761573,0,1
"448",0,0,0,1
"449",1,0,0,0
"450",1,1,1,1
"451",0,1,0,0
"452",0,0,1,0
"453",0,0,0,1
"454",0,0,1,0
"455",0.863315802923942,1,0,0
"456",0,0,0,1
"457",0.349626170262371,0.353554173468722,0,1
"458",0,0,1,0
"459",0,0,1,0
"460",0.126834706651341,1,0,0
"461",1,0.642869082648862,0,0
"462",1,0.493540241298859,0,0
"463",1,1,0,1
"464",1,0.945951526674619,0,0
"465",1,0,0,0
"466",1,1,1,1
"467",0,0,1,0
"468",0.954876488161421,1,0,0
"469",1,0,0,0
"470",1,1,1,1
"471",1,0,0,0
"472",0.70756708580952,0.702356432152331,1,0.720101274245636
"473",0,0,0,1
"474",0,0,1,0
"475",0,1,0,0
"476",1,0,0,0
"477",1,0.962985744785076,0,0
"478",0,1,0,0
"479",1,0.375337867127578,0,0
"480",1,0,0,0
"481",1,0.806764331904389,0,0
"482",1,1,1,1
"483",1,0,0,0
"484",1,1,1,1
"485",0.794553473480489,1,0,0
"486",1,1,0,1
"487",1,1,1,1
"488",0,1,0,0
"489",0,0,1,0
"490",1,1,1,1
"491",0,1,0,0
"492",0.991721515363076,1,0,0
"493",0,0,1,0
"494",0.738366354188041,0.782233819359408,0,1
"495",0,0,1,0
"496",0,0,0,1
"497",1,1,1,1
"498",0,1,0,0
"499",1,1,0,1
"500",1,0.956032974428788,0,0.678956030332045
"501",0.930209989035034,1,0,0
"502",0,0,0,1
"503",0.955353780354165,1,0,0
"504",0,0,0,1
"505",1,0.547824519861206,0,0
"506",0,0,1,0
"507",1,1,1,1
"508",0,0,0,1
"509",1,1,1,1
"510",0.998910258634271,1,0,0
"511",0,0,1,0
"512",0.548457161886115,1,0,0.272164183169041
"513",0,0,1,0
"514",1,0,0,0
"515",1,0,0,0
"516",1,1,0,1
"517",1,1,1,1
"518",1,0.172022656054181,0,0
"519",0,1,0,0
"520",0,0,1,0
"521",0,1,0,0
"522",1,1,0.714043387068837,1
"523",1,0.365056472080731,0,0
"524",0,1,0,0
"525",0.931401571521509,1,0,0
"526",1,0,0,0
"527",0,1,0,0
"528",0,1,0,0
"529",0,0,1,0
"530",0,0,0,1
"531",1,1,0,1
"532",1,1,0,1
"533",0.977647250788471,1,0,0
"534",1,1,0.661462251468393,1
"535",1,0,0,0
"536",0.736438399488815,1,0,0
"537",0.966683451943013,0.923654015776386,0,1
"538",1,1,0,1
"539",1,1,0,0.913462358159039
