"","t6"
"383","Run4_200416660176307"
"384","Run4_235626682825955"
"385","Run5_155911403719515"
"386","Run5_196527728769773"
"387","Run5_130194240919268"
"388","Run4_232450539796380"
"389","Run4_161890984115556"
"390","Run4_231907656416675"
"391","Run4_135149175106931"
"392","Run5_231270780357533"
"393","Run4_235000959024422"
"394","Run4_121202323408629"
"395","Run5_165860338522974"
"396","Run5_157613970386267"
"397","Run4_192747056519990"
"398","Run5_197145251960540"
"399","Run4_122293398198509"
"400","Run4_196715472336692"
"401","Run4_226883215681451"
"402","Run4_235000972044574"
"403","Run5_161462676216236"
"404","Run4_160910638205286"
"405","Run4_200562869717803"
"406","Run5_164769520052660"
"407","Run5_231890195237172"
"408","Run4_155888900754843"
"409","Run5_125197033061236"
"410","Run5_192325895444828"
"411","Run5_191647291398044"
"412","Run5_205392426219821"
"413","Run5_227921645194467"
"414","Run5_227284947720942"
"415","Run5_227363580394845"
"416","Run5_135064452482924"
"417","Run4_156515966864294"
"418","Run5_121742684023020"
"419","Run4_235122055339428"
"420","Run5_169793543169963"
"421","Run4_239932656020260"
"422","Run4_226901487475420"
"423","Run5_169156994779491"
"424","Run5_134540466272611"
"425","Run4_155842595899764"
"426","Run5_235069797947755"
"427","Run4_204911389130164"
"428","Run4_157536914132331"
"429","Run5_170877934263077"
"430","Run4_205392426187995"
"431","Run4_232328294779630"
"432","Run4_134938004450589"
"433","Run5_166416893273971"
"434","Run5_204403375265523"
"435","Run5_161478635015085"
"436","Run4_157690325322155"
"437","Run4_227990498826597"
"438","Run5_165860319611614"
"439","Run4_192317708159836"
"440","Run4_235601986271972"
"441","Run5_131089728170419"
"442","Run4_131217382107933"
"443","Run5_134033672719085"
"444","Run5_169587565083548"
"445","Run4_130761042282796"
"446","Run5_160440058309915"
"447","Run4_235214365912485"
"448","Run4_169793570355572"
"449","Run4_170268002532260"
"450","Run4_155911430715766"
"451","Run5_170198370831278"
"452","Run5_170199700368100"
"453","Run5_196638189702558"
"454","Run5_231711832128861"
"455","Run5_166332082899244"
"456","Run5_204911343716774"
"457","Run4_121896068106075"
"458","Run4_240161213593374"
"459","Run5_226874759691619"
"460","Run5_170877915649820"
"461","Run5_227975317317350"
"462","Run5_235214365384101"
"463","Run4_201595522013486"
"464","Run4_200561508605219"
"465","Run5_169158873606452"
"466","Run5_232302658938740"
"467","Run4_227903377205476"
"468","Run5_231760571873517"
"469","Run4_169587518884660"
"470","Run5_230807862958813"
"471","Run5_165739006442798"
"472","Run5_134936662236454"
"473","Run5_165164911049515"
