"","t3"
"321","Run5_231770055953332"
"322","Run4_192653687379885"
"323","Run5_164818809413028"
"324","Run5_201523553266475"
"325","Run5_232330326621027"
"326","Run5_161478620964709"
"327","Run4_200441222084396"
"328","Run4_165860339018076"
"329","Run5_192745863342309"
"330","Run5_165385745316149"
"331","Run5_226806162118556"
"332","Run4_241106374543091"
"333","Run4_160990114793756"
"334","Run4_165851837098413"
"335","Run4_226829547555750"
"336","Run5_227844233542899"
"337","Run5_130675129829236"
"338","Run4_164769532405483"
"339","Run4_133974590114030"
"340","Run5_240161228803299"
"341","Run4_129978418219877"
"342","Run5_226283261933420"
"343","Run4_157537765583219"
"344","Run5_230799408031459"
"345","Run5_205922688720219"
"346","Run4_192747102161259"
"347","Run5_235214351260531"
"348","Run5_126681647016292"
"349","Run4_130184174557939"
"350","Run5_161478620690654"
"351","Run5_157614001577270"
"352","Run5_165858441358621"
"353","Run5_235129955080614"
"354","Run5_120797925926836"
"355","Run5_195623369960755"
"356","Run5_164753425979700"
"357","Run5_157140449912668"
"358","Run4_200363958258974"
"359","Run5_227284929169836"
"360","Run5_161478620637083"
"361","Run4_126836650134317"
"362","Run5_121965726591324"
"363","Run4_199934577659107"
"364","Run4_170198370735838"
"365","Run4_235070752438109"
"366","Run4_196019733019486"
"367","Run5_232328281836445"
"368","Run5_157690352744748"
"369","Run5_204403374963125"
"370","Run5_130142316685683"
"371","Run5_205381656852900"
"372","Run4_200570473933083"
"373","Run5_204825336629597"
"374","Run4_134938019616500"
"375","Run4_162090668211051"
"376","Run4_120797944278244"
"377","Run5_161462648432875"
"378","Run4_235533386344363"
"379","Run5_125239727181230"
"380","Run4_197256818408876"
"381","Run4_227982967749036"
"382","Run4_236634017773430"
"383","Run5_236288375471398"
"384","Run5_226970323077852"
"385","Run5_155842577098614"
"386","Run4_226273463790510"
"387","Run4_120797944309486"
"388","Run5_235007433721779"
"389","Run5_235199332998502"
"390","Run5_192101764479398"
"391","Run5_227973439114461"
"392","Run4_126149052745526"
"393","Run5_121955438770422"
"394","Run4_226958766983541"
"395","Run5_155888855439133"
"396","Run5_239468531108261"
