,cell_names,Size_Factor,Pseudotime,State
Run5_227284901345125,Run5_227284901345125,0.432292334171271,5.61371753195556,5
Run5_227284901554398,Run5_227284901554398,1.57095576297193,7.54193487947648,5
Run5_227284901579493,Run5_227284901579493,1.12849981592829,17.7582834647815,1
Run5_227284916234099,Run5_227284916234099,1.01365099047057,8.56817275491696,5
Run5_227284916287925,Run5_227284916287925,0.638274888384541,0.78826818456323,7
Run5_227284916296476,Run5_227284916296476,0.280176928181537,0.379232473708172,7
Run5_227284916755749,Run5_227284916755749,1.62482291119547,16.9912388315849,2
Run5_227284928576238,Run5_227284928576238,1.66276706591896,16.9994667642398,2
Run5_227284928916381,Run5_227284928916381,0.606428901384463,7.82773811985157,5
Run5_227284929075062,Run5_227284929075062,0.795133313714713,4.44111125167421,5
Run5_227284929169836,Run5_227284929169836,1.36632835714164,17.2177649285547,2
Run5_227284947720942,Run5_227284947720942,0.799537545959404,17.8285453742063,1
Run5_227305168158110,Run5_227305168158110,0.824946578140317,17.9425790486161,1
Run5_227305168426859,Run5_227305168426859,1.61703080799332,17.6176810671422,1
Run5_227305169041268,Run5_227305169041268,1.44695968592907,11.6527761329025,4
Run5_227305182948067,Run5_227305182948067,0.961138990630013,8.563221228026,5
Run5_227305183401772,Run5_227305183401772,0.581697443395041,1.39885442342845,7
Run5_227305183688988,Run5_227305183688988,0.294744773298594,0.291646224515842,7
Run5_227305195793196,Run5_227305195793196,1.78913465263204,17.439640025196,2
Run5_227305195953565,Run5_227305195953565,1.10952773856655,7.11525636981287,5
Run5_227305214368564,Run5_227305214368564,1.73763901407872,14.4092982074494,1
Run5_227305215158517,Run5_227305215158517,0.948603868087429,7.20010359508373,5
Run5_227354843961070,Run5_227354843961070,0.908965777885204,8.80506779186545,5
Run5_227354844251932,Run5_227354844251932,1.37513682163103,17.0866324204584,2
Run5_227354856024420,Run5_227354856024420,0.92658270686397,18.1194630882287,1
Run5_227354875479859,Run5_227354875479859,0.644034269012215,0.920442029092469,7
Run5_227354875717342,Run5_227354875717342,0.485820695299062,1.25645965008344,7
Run5_227357110975277,Run5_227357110975277,1.05532180324726,9.65577833658188,5
Run5_227357125462838,Run5_227357125462838,2.07507096144125,17.7843274303676,1
Run5_227357125893413,Run5_227357125893413,0.71382441073579,18.0282870634566,1
Run5_227357125896499,Run5_227357125896499,2.47619488280393,16.8738865710043,2
Run5_227357137951454,Run5_227357137951454,1.15797429325815,17.7253402261633,1
Run5_227357138016998,Run5_227357138016998,0.866956178012761,17.4923751372808,1
Run5_227357156560283,Run5_227357156560283,0.526813933884268,2.11431573673986,7
Run5_227357156624308,Run5_227357156624308,0.68062327535273,3.27624804826326,7
Run5_227357156923635,Run5_227357156923635,1.58010301455706,8.74492950330417,5
Run5_227363552971061,Run5_227363552971061,0.366906424692388,0.47493273069166,7
Run5_227363580394845,Run5_227363580394845,0.747703120310341,18.0055427479254,1
Run5_227363599826340,Run5_227363599826340,1.18304453834332,14.4012281061912,1
Run5_227364224296677,Run5_227364224296677,0.558321133788601,0.849111857129024,7
Run5_227364239460254,Run5_227364239460254,0.310328979702887,0.591573195619249,7
Run5_227364251261236,Run5_227364251261236,0.98620923571518,17.604393640937,1
Run5_227364252016037,Run5_227364252016037,1.02889640977911,11.6446087555439,4
Run5_227425442481894,Run5_227425442481894,0.52139334035234,1.10655189664008,7
Run5_227425455400683,Run5_227425455400683,1.43205305371627,14.8416714738652,1
Run5_227425474002292,Run5_227425474002292,0.459734088926657,0.621706400318579,7
Run5_227493073041253,Run5_227493073041253,0.779210320214674,7.20113431459073,5
Run5_227493088247030,Run5_227493088247030,1.88331746524929,17.4293592262326,2
Run5_227493100284723,Run5_227493100284723,0.324219250628453,0.310323238070815,7
Run5_227493100865964,Run5_227493100865964,1.57908665326982,17.5540810051691,2
Run5_227493119671147,Run5_227493119671147,0.778871533118928,11.6700999204655,4
Run5_227510387399973,Run5_227510387399973,0.528507869362996,17.7761755622317,1
Run5_227510387403547,Run5_227510387403547,0.398752411692466,0.456134452939908,7
